team_size,duration_months,budget_usd,requirements_clarity,client_involvement,tech_complexity,risk_encoded,type_encoded,budget_per_person,complexity_risk,team_experience,regulatory_compliance,geographic_distribution,team_efficiency,project_complexity_index,budget_efficiency,experience_complexity_ratio,involvement_clarity_product,sdlc,effort_person_months,cost_usd
10,3,50806.53,4,3,4,1,1,5080.653,4,5,0,2,16.666666666666668,1.2,1693.551,1.25,12,XP,18.64,59399.57
17,6,468912.94,5,4,1,3,3,27583.1141,3,1,0,2,2.8333333333333335,1.0588235294117647,4597.18568627451,1.0,20,Agile,129.15,569372.69
6,9,126923.8,4,4,3,2,4,21153.9667,6,5,0,1,3.3333333333333335,9.0,2350.4407407407407,1.6666666666666667,16,Agile,36.81,159281.64
37,20,4593920.95,4,3,5,2,4,124160.0257,10,2,1,1,3.7,5.405405405405405,6208.001283783784,0.4,12,Spiral,880.29,5287323.06
5,31,499107.45,3,3,4,2,2,99821.49,8,4,0,1,0.6451612903225806,49.6,3220.048064516129,1.0,9,Iterative,132.44,602268.65
11,6,116506.8,5,4,1,1,4,10591.5273,1,1,0,1,1.8333333333333333,0.5454545454545454,1765.2545454545455,1.0,20,RAD,54.5,150272.72
26,23,1799080.91,4,2,1,2,1,69195.4196,2,3,1,1,3.391304347826087,1.7692307692307692,3008.4965050167225,3.0,8,Waterfall,390.56,2087303.36
54,30,12611559.56,4,3,4,3,4,233547.3993,12,2,0,1,3.6,6.666666666666667,7784.913308641976,0.5,12,SAFe,2025.21,17594532.07
11,14,442564.11,2,5,1,2,1,40233.1009,2,2,0,3,1.5714285714285714,2.5454545454545454,2873.792922077922,2.0,10,Agile,143.1,497030.34
9,6,85983.77,3,2,1,2,1,9553.7522,2,2,1,3,3.0,1.3333333333333333,1592.292037037037,2.0,6,RAD,52.65,107341.53
10,22,1140016.74,2,5,4,3,3,114001.674,12,2,0,2,0.9090909090909091,26.4,5181.894272727272,0.5,10,Agile,350.06,1467793.64
15,19,1871311.19,4,1,5,1,3,124754.0793,5,5,1,1,3.9473684210526314,6.333333333333333,6566.004175438597,1.0,4,V-Model,203.99,2186382.07
34,14,4014465.8,5,2,3,3,4,118072.5235,9,5,0,2,12.142857142857142,3.7058823529411766,8433.751680672269,1.6666666666666667,10,SAFe,380.33,5327790.5
22,21,2568560.28,4,1,5,2,5,116752.74,10,2,1,3,2.0952380952380953,9.545454545454545,5559.654285714285,0.4,4,V-Model,730.87,3588084.46
5,7,74627.18,3,4,4,2,1,14925.436,8,5,0,2,3.5714285714285716,11.2,2132.2051428571426,1.25,12,Scrum,22.78,92918.11
23,18,935189.72,2,3,2,1,3,40660.4226,2,2,0,2,2.5555555555555554,1.565217391304348,2258.912367149758,1.0,6,Iterative,428.37,1260485.77
23,37,6433816.61,5,1,5,3,5,279731.157,15,4,1,2,2.4864864864864864,24.130434782608695,7560.301539365453,0.8,5,Spiral,1042.57,8557825.78
